OBJECTID_1,OBJECTID,WARD,PARCEL,PID_LONG,WPD,BATCH,Petition,Name_of_Pr,Areas_Desi,Address,Neighborho,Date_Desig,PID,F8,URL,ShapeSTArea,ShapeSTLength
916,,6,3888,0603888000,06-09-040,0,249,James Collins Mansion,0603888000,928 East Broadway,South Boston,07/09/2014,0603888000,Yes,,15710.453125,501.389073916533
919,,11,90-10,1100090010,11-01-010,,234.08,Alvah Kittredge House,1100090010,10 Linwood St,Roxbury,01/12/2016,1100090010,Yes,,5297.666015625,313.562144883089
920,,4,1754,0401754000,04-07-010,,242.11,Massachusetts Historical Society,0401754000,1154 Boylston St,Fenway,04/26/2016,0401754000,Yes,,11062.5607910156,439.929706780779
922,,17,2410-10,1702410010,17-01-085,,8,Roswell Gleason House,Demolished 10/82,101 Claybourne St,Dorchester,,1702410010,Yes,,25751.3696289062,709.166941629299
923,,3,3903,0303903000,03-06-175,,250.14,Winthrop-Carter Building,,1 Water Street,Boston,01/12/2016,0303903000,Yes,,6220.3115234375,410.385756016958
924,,3,3880,0303880000,03-06-230,,198,10 Post Office Square,,10 Post Office Square,Boston,,0303880000,Pending,,36444.7631835938,850.173353430729
927,,3,4039,0304039000,03-06-525,,124,109-113 Broad Street,,109-113 Broad Street,Boston,,0304039000,Pending,,3978.83374023438,337.334158224783
928,,3,4040,0304040000,03-06-525,,125,115-119 Broad Street,,115-119 Broad Street,Boston,,0304040000,Pending,,4176.57788085938,357.466194064439
929,,17,3550,1703550000,17-13-040,,228.07,1203-5 Adams Street,,1203-1205 Adams Street,Dorchester,,1703550000,Pending,,11323.6213378906,426.298585305712
930,,3,4041,0304041000,03-06-525,,126,123-125 Broad Street,,123-125 Broad Street,Boston,,0304041000,Pending,,3907.59497070312,375.891570370755
931,,3,4042,0304042000,03-06-525,,,127-133 Broad Street,,127-133 Broad Street,Boston,,0304042000,Pending,,3379.46655273438,271.946381311318
932,,11,3759-20,1103759020,11-08-100,,209.04,40 Orchardhill Road,,40 Orchardhill Road,Jamaica Plain,,1103759020,Pending,,5734.47705078125,299.558731417275
933,,13,1499,1301499000,13-09-060,,225.07,65 Pleasant Street,,65 Pleasant Street,Dorchester,,1301499000,Pending,,9821.52880859375,406.326826473723
934,64498,5,1135,0501135000,05-01-095,0,40,Armory of First Corps Cadets,Interior,130 Columbus Ave.,South Cove,,0501135000,Pending,,28021.5334472656,728.300004650494
935,,3,4831,0304831000,03-08-020,,171,Bijou Theater/Amusement Center,,543-547 Washington Street,Boston,,0304831000,Pending,,9827.21215820312,456.611811143119
936,,10,2038-10,1002038010,10-09-050,,214.05,Blessed Sacrament Church Complex,,"Centre, Creighton, Sunnyside Streets",Jamaica Plain,,1002038010,Pending,,135845.823486328,1605.14772744407
937,,3,3823,0303823000,03-06-270,,116,Board of Trade Building,,2-22 Broad Street,Boston,,0303823000,Pending,,15179.4609375,517.494810815548
938,,5,2826,0502826000,05-06-030,,227.07,Boston Center for Adult Education,,5 Commonwealth Avenue,Back Bay,,0502826000,Pending,,10026.1657714844,410.776721858147
939,,3,2615,0302615000,03-06-140,,224.07,Boston City Hall,,1 City Hall Plaza,Boston,,0302615000,Pending,,127107.997070312,1450.92297865898
940,,6,2673-2,0602673002,06-01-185,,183,Boston Fish Pier,,212-234 Northern Avenue,Boston,,0602673002,Pending,,540832.185791016,3336.94520172815
941,,22,3357,2203357000,22-13-050,,196,Boston Public Library - Faneuil Branch,,419 Faneuil Street,Brighton,,2203357000,Pending,,13300.0290527344,469.495485833408
942,,18,12032-20,1812032020,18-19-050,,205.02,Charles F Allen House,,18 Roxana Street,Hyde Park,,1812032020,Pending,,8775.7314453125,375.012770699888
943,,5,45,0500045000,05-01-025,,86,Colonial Theater,Interior,106 Boylston Street,Boston,,0500045000,Pending,,23913.2878417969,649.629572366505
945,,5,1489,0501489000,05-03-060,,24,Eben Jordan House,Interior,46 Beacon Street,Beacon Hill,,0501489000,Pending,,6831.9462890625,339.801120826433
946,,16,86-30,1600086030,16-02-075,,65,Elisha Loring House,,21 Mill Street,Dorchester,,1600086030,Pending,,24045.0925292969,605.614546117318
947,,22,3327,2203327000,22-07-030,,188,Faneuil Gatekeeper's House,,351 Faneuil Street,Brighton,,2203327000,Pending,,9055.79760742188,398.655504515384
948,,5,4203,0504203000,05-02-015,,184,Fenway Park,,24 Yawkey Way,Fenway,,0504203000,Pending,,327088.931640625,2301.72955592769
949,,9,3139,0903139000,09-05-045,,152,Ferdinand's Blue Store,,2260-2272 Washington Street,Roxbury,,0903139000,Pending,,37287.9157714844,860.372289485204
950,,3,3028-300,0303028300,03-01-010,,12,Commercial Wharf,,84 Atlantic Avenue,Waterfront,,0303028300,Pending,,85257.5285644531,1519.86520855607
951,,4,1087,0401087000,04-02-060,,147,Copley Plaza,Interior and Exterior,138 St James Avenue,Back Bay,,0401087000,Pending,,57002.6979980469,938.333991616978
952,,5,1358,0501358000,05-07-055,,130,First Baptist Church,Interior,110 Commonwealth Avenue,Back Bay,,0501358000,Pending,,18063.1328125,539.149133347882
953,,9,3294,0903294000,09-05-065,,122,First Church Roxbury - Putnam Chapel,Interior and Exterior,John Eliot Square,Roxbury,,0903294000,Pending,,90519.45703125,1269.86419651594
955,,5,2574,0502574000,05-06-010,,123,Fisher Junior College,Interior,118 Beacon Street,Back Bay,,0502574000,Pending,,6098.40698242188,382.389683195921
956,,4,1882,0401882000,04-10-145,,245.11,Harvard Medical School,,689 Huntington Avenue,Fenway,,0401882000,Pending,,487429.242675781,2766.48531154151
957,,4,1160,0401160000,04-05-005,,239.11,Horticultural Hall,,247 Huntington Avenue,Fenway,,0401160000,Pending,,22721.4321289062,647.676455675768
958,,16,1229,1601229000,16-03-015,,247.12,Industrial School for Girls,,232 Centre Street,Dorchester,,0601129000,Pending,,59052.9682617188,975.988637577471
959,,3,4734,0304734000,03-06-670,,110,Jeweler's Building,,371-3798 Washington Street,Boston,,0304734000,Pending,,18198.2468261719,620.294635620278
960,,3,4733,0304733000,03-06-675,,134,Hutchinson building,,32-54 Province Street,Boston,,0304733000,Pending,,4488.4775390625,366.34511746268
961,,1,5980,0105980000,01-06-015,,202.01,Joseph H. Barnes School,,127 Marion Street,East Boston,,0105980000,Pending,,40376.4135742188,803.757746359136
962,,3,4304-100,0304304100,03-08-335,,96,Lincoln Building,,60-70 Lincoln Street,Boston,,0304304100,Pending,,16805.3120117188,736.196894335283
963,,4,1861,0401861000,04-10-050,,146,Massachusetts College of Art,,364 Brookline Avenue,Fenway,,0401861000,Pending,,99001.2292480469,1260.20423624073
964,,4,1796,0401796000,04-09-080,,241.11,Museum of Fine Arts,,465 Huntington Avenue,Fenway,,0401796000,Pending,,499593.902587891,2859.32981607392
965,,3,3882,0303882000,03-06-190,,105,National Shawmut Bank Building,,70-84 Devonshire Street,Boston,,0303882000,Pending,,26138.7912597656,657.590704910323
966,,4,2246,0402246000,04-08-036,,236.11,New England Conservatory/Jordan Hall,Interior and Exterior,290 Huntington Avenue,Fenway,,0402246000,Pending,,45201.6079101562,848.331086011679
967,,3,4176,0304176000,03-06-505,,235.1,New England Telephone and Telegraph Building,,185 Franklin Street,Boston,,0304176000,Pending,,72717.6506347656,1128.24476869882
969,,22,3358,2203358000,22-13-050,,197,Oak Square Fire Station,,425 Faneuil Street,Brighton,,2203358000,Pending,,10040.2229003906,426.405936626274
970,,17,4599,1704599000,17-11-010,,258.16,O'Briens Market,,1911-1913 Dorchester Avenue,Dorchester,,1704599000,Pending,,9526.08154296875,391.310851296372
971,,3,2861,0302861000,03-06-165,,181,Old Corner Bookstore,,283 Washington Street,Boston,,0302861000,Pending,,5167.18603515625,345.452041938347
972,,3,3907,0303907000,03-06-180,,111,Old South Building,,280-300 Washington Street,Boston,,0303907000,Pending,,24579.6899414062,710.729711537736
973,,22,3728,2203728000,22-04-010,,216.05,Our Lady of Presentation School,,640 Washington Street,Brighton,,2203728000,Pending,,62632.7585449219,1196.92813410244
974,,22,3688,2203688000,22-04-005,,215.05,Our Lady of Presentation Church and Rectory ,,676-680 Washington Street,Brighton,,2203688000,Pending,,76708.869140625,1291.42143570012
975,,5,1151,0501151000,05-01-085,,166,Paine Furniture Building,,81 Arlington Street,Back Bay,,0501151000,Pending,,34749.3737792969,797.434097254541
976,,10,10-5,1000010005,10-01-005,,208.03,Boston Public Library - Parker Hill Branch,,1497 Tremont Street,Mission Hill,,1000010005,Pending,,11866.25390625,435.068852300054
977,,3,4696,0304696000,03-06-695,,61,Parker House,,60 School Street,Boston,,0304696000,Pending,,27607.7739257812,940.336290526052
978,,4,1147,0401147000,04-02-080,,135,Pope/Cahner's Building,,219-223 Columbus Avenue,Back Bay,,0401147000,Pending,,9830.61376953125,398.808823680129
979,,16,2617-5,1602617005,16-10-190,,219.06,Putnam Nail Factory [parcel 1602617005],,12 Ericsson Street,Dorchester,,1602617005,Pending,,16801.8728027344,561.592252968483
980,,16,2617-8,1602617008,16-10-190,,220.06,Putnam Nail Factory [parcel 1602617008],,12R Ericsson Street,Dorchester,,1602617008,Pending,,35747.2341308594,818.023384807276
981,,3,3746,0303746000,03-06-300,,95,Richards Building,,112-116 State Street,Boston,,0303746000,Pending,,2481.8681640625,199.91174700513
982,,3,4179,0304179000,03-06-425,,132,Richardson Block,,109-151 Pearl Street,Boston,,0304179000,Pending,,17587.8327636719,633.396044275268
992,,3,3248,0303248000,03-01-070,,210.04,Sacred Heart Church,,12 North Square,North End,,0303248000,Pending,,7107.43017578125,381.616880507856
993,,3,3833,0303833000,03-06-240,,118,Samuel Appleton Building,,110-114 Milk Street,Boston,,0303833000,Pending,,13845.0549316406,474.112435802455
994,,3,,0303670000,,,179,North Market Building,,300-399 Faneuil Hall Marketplace,Boston,,0303670000,Pending,,33049.9228515625,1242.43411667976
995,,3,3670,0303670000,,,178,South Market Building,,100-199 Faneuil Hall Marketplace,Boston,,0303670000,Pending,,35955.0180664062,1218.49586160158
996,,3,3670,0303670000,,,177,Quincy Market Building,Exterior and selected interior areas,200-299 Faneuil Hall Marketplace,Boston,,0303670000,Yes,,53096.4519042969,1376.21139633049
1002,,3,2318,0302318000,03-03-025,,33,St Leonard's Church,,31-35 Prince Street,North End,,0302318000,Pending,,8495.24047851562,416.316877366154
1003,,17,4048-10,1704048010,17-14-080,,211.04,Stoughton School,,36-40 River Street,Dorchester,,1704048010,Pending,,54120.1223144531,939.687640447384
1004,,4,1482,0401482000,04-08-020,,240.11,Symphony Hall,Exterior and Interior,301 Massachusetts Avenue,Fenway,,0401482000,Pending,,32729.7717285156,731.968163017666
1005,,3,4206,0304206000,03-06-485,,255.16,The Blue Cross Blue Shield Building,,1333 Federal Street,Boston,,0304206000,Pending,,20591.6384277344,589.411916783565
1007,,5,3752,0503752000,,,256.16,The CITGO Sign,On the roof of 660 Beacon Street,660 Beacon Street,Fenway,,0503752000,Pending,,1271.55737304688,204.248163950466
1008,,12,111,1200111000,12-01-075,,254.16,The Warren House,,130 Warren Street,Roxbury,,1200111000,Pending,,10671.6938476562,427.384940659097
1009,,3,4702-1,0304702001,03-06-695,,101,Tremont Temple,,88 Tremont Street,Boston,,0304702001,Pending,,12465.5642089844,466.619313659005
1010,,4,1091,0401091000,04-02-030,,109,Trinity Church,,206 Clarendon Street,Back Bay,,0401091000,Pending,,43992.2346191406,863.108550822802
1011,,11,706,1100706000,11-01-015,,243.11,William Lloyd Garrison House,,125 Highland Street,Roxbury,,110706000,Pending,,71914.8920898438,1195.30009335228
1012,,3,3888,0303888000,03-06-190,,104,Worthington Building,,31-33 State Street,Boston,,0303888000,Pending,,3103.23071289062,249.748039326403
1013,,8,1420,0801420000,,,121,"Gridley J.F. Bryant Buildings, Boston City Hospital",,Harrison Avenue,South End,,0801420000,Pending,,12690.9802246094,758.725801695332
1015,,2,3510,0203510000,,,115,The Ropewalk,,Charlestown Navy Yard,Charlestown,,0203510000,Pending,,66080.5227050781,2830.44526161137
1016,,,,,,,103,Quaker Lane,,Quaker Lane,Boston,,,Pending,,2760.47778320312,627.343331327018
1017,,1,3873,0103873000,,,,Sidewalk Clock - 9 Chelsea Street,,9 Chelsea Street,,,,Yes,,14.708740234375,15.5089221637602
